2024-03-26 15:37:01,364 INFO    MainThread:22230 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-03-26 15:37:01,365 INFO    MainThread:22230 [wandb_setup.py:_flush():76] Configure stats pid to 22230
2024-03-26 15:37:01,365 INFO    MainThread:22230 [wandb_setup.py:_flush():76] Loading settings from /home/labicquette/.config/wandb/settings
2024-03-26 15:37:01,365 INFO    MainThread:22230 [wandb_setup.py:_flush():76] Loading settings from /home/labicquette/M1/TER/wandb/settings
2024-03-26 15:37:01,365 INFO    MainThread:22230 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-26 15:37:01,365 INFO    MainThread:22230 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-26 15:37:01,365 INFO    MainThread:22230 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-03-26 15:37:01,365 INFO    MainThread:22230 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-03-26 15:37:01,365 INFO    MainThread:22230 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-03-26 15:37:01,365 INFO    MainThread:22230 [wandb_init.py:_log_setup():527] Logging user logs to /home/labicquette/M1/TER/wandb/run-20240326_153701-hsxhiu36/logs/debug.log
2024-03-26 15:37:01,365 INFO    MainThread:22230 [wandb_init.py:_log_setup():528] Logging internal logs to /home/labicquette/M1/TER/wandb/run-20240326_153701-hsxhiu36/logs/debug-internal.log
2024-03-26 15:37:01,366 INFO    MainThread:22230 [wandb_init.py:_jupyter_setup():473] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f5f6ccc25c0>
2024-03-26 15:37:01,366 INFO    MainThread:22230 [wandb_init.py:init():567] calling init triggers
2024-03-26 15:37:01,366 INFO    MainThread:22230 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {}
2024-03-26 15:37:01,366 INFO    MainThread:22230 [wandb_init.py:init():617] starting backend
2024-03-26 15:37:01,366 INFO    MainThread:22230 [wandb_init.py:init():621] setting up manager
2024-03-26 15:37:01,368 INFO    MainThread:22230 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-26 15:37:01,369 INFO    MainThread:22230 [wandb_init.py:init():629] backend started and connected
2024-03-26 15:37:01,378 INFO    MainThread:22230 [wandb_run.py:_label_probe_notebook():1299] probe notebook
2024-03-26 15:37:01,379 INFO    MainThread:22230 [wandb_run.py:_label_probe_notebook():1309] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-03-26 15:37:01,379 INFO    MainThread:22230 [wandb_init.py:init():721] updated telemetry
2024-03-26 15:37:01,391 INFO    MainThread:22230 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-03-26 15:37:03,703 INFO    MainThread:22230 [wandb_run.py:_on_init():2344] communicating current version
2024-03-26 15:37:03,981 INFO    MainThread:22230 [wandb_run.py:_on_init():2353] got version response 
2024-03-26 15:37:03,981 INFO    MainThread:22230 [wandb_init.py:init():805] starting run threads in backend
2024-03-26 15:37:04,554 INFO    MainThread:22230 [wandb_run.py:_console_start():2323] atexit reg
2024-03-26 15:37:04,554 INFO    MainThread:22230 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-03-26 15:37:04,554 INFO    MainThread:22230 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-03-26 15:37:04,554 INFO    MainThread:22230 [wandb_run.py:_redirect():2268] Redirects installed.
2024-03-26 15:37:04,555 INFO    MainThread:22230 [wandb_init.py:init():848] run started, returning control to user process
